brand,model,version,release_year,archetype,gender,weight_g,stack_heel_mm,stack_forefoot_mm,drop_mm,has_plate,plate_material,foam_name,lug_depth_mm,width_options,has_medial_post,msrp_usd,energy_return_pct,breathability_1to5,durability_1to5,wet_traction,torsional_rigidity_1to5,heel_counter_1to5,runrepeat_score,image_url,source_url,data_confidence,notes,affiliate_url
Hoka,Speedgoat,6,2024,trail,m,278,40,35,5,False,none,CMEVA,5,Normal,False,155,,,,,,,,,https://www.hoka.com/en/us/mens-trail-running-shoes/speedgoat-6/speedgoat-6.html,medium,"Brand: 278 g men's 9.5, 5 mm drop. Independent listings give men's stack 40/35 mm. CMEVA midsole, Vibram Megagrip, 5 mm lugs, J-Frame for moderate stability. Firmer and more protective than Speedgoat 5 per public reviews. Technical-trail daily, not a road shoe.",
Adidas,Adizero Boston,13,2025,tempo,m,255,36,30,6,True,nylon,Lightstrike Pro / Lightstrike,,Normal;Wide,False,160,,,,,,,,,https://runningshoedb.com/en/shoes/adidas-adizero-boston-13/,medium,"Adidas Japan PR: 255 g at 27.0 cm, 6 mm drop, 36/30 mm stack, ENERGYRODS 2.0 fiberglass, more Lightstrike Pro than Boston 12, Lighttraxion/Continental outsole. Neutral tempo/long-run trainer, not a carbon racer. MSRP commonly $160. Wide listed on public product pages.",
Saucony,Peregrine,15,2025,trail,m,278,31,27,4,False,none,PWRRUN,5,Normal,False,140,,,,,,,,,https://www.saucony.com/en/peregrine-15/,medium,"Saucony listings: 278 g, 31/27 mm stack, 4 mm drop, 5 mm lugs, PWRRUN midsole, PWRTRAC outsole, forefoot rock guard. Technical-trail shoe with firmer ride and high ground feel versus max-cushion trail models. Neutral; no carbon plate.",
Brooks,Cascadia,18,2025,trail,m,314.7,33,25,8,False,none,DNA LOFT v2,4.5,Normal;Wide,False,150,,,,,,,,,https://www.brooksrunning.com/en_us/mens/trail-running-shoes/cascadia-18/,medium,"Brooks: 11.1 oz / 314.7 g, 8 mm drop. Spec sheets: 33/25 mm stack, Trail Adapt / DNA LOFT v2, rock plate, 4.5 mm lugs, Normal and Wide. Protective all-terrain trail trainer rather than a racer. Neutral (no medial post).",
New Balance,FuelCell Rebel,v5,2025,tempo,m,225,35,29,6,False,none,FuelCell PEBA/EVA,,Normal,False,140,,,,,,,,,https://newbalance.newsmarket.com/running/new-balance-introduces-the-fuelcell-rebel-v5/s/111479fb-d6a2-4879-aa38-9e3de4deb5b0,medium,"NB launch PR (16 May 2025): $140, men's 9.5 225 g, 6 mm drop, 35/29 mm stack, PEBA-blend FuelCell, no plate. Soft/bouncy tempo-and-daily hybrid. Public copy positions it between a daily trainer and a workout shoe.",
Saucony,Kinvara,15,2024,tempo,m,200,29,25,4,False,none,PWRRUN,,Normal,False,140,,,,,,,,,https://www.saucony.com/en/tokyo-kinvara-15/60091M.html,medium,"Saucony: 200 g men, 4 mm offset (29/25 mm), PWRRUN foam, no plate. Light, low, flexible speed/daily shoe aimed at faster miles rather than long easy runs. Public product copy frames it as a stripped-down tempo trainer.",
Hoka,Mach X,2,2024,tempo,m,260,44,39,5,True,Pebax,PEBA / SCF EVA,,Normal,False,190,,,,,,,,,https://runningshoedb.com/en/shoes/hoka-mach-x-2/,medium,"Deckers Japan PR / HOKA: men's 260 g (28 cm), 44/39 mm stack, 5 mm drop. Dual-layer PEBA over SCF EVA with an extended winged Pebax plate (not carbon). US MSRP $190 on launch coverage. High-stack speed trainer for tempo work, not a race-day carbon super shoe.",
Brooks,Hyperion,2,2024,tempo,m,193,26,18,8,False,none,DNA FLASH v2,,Normal,False,140,,,,,,,,,https://www.fleetfeet.com/products/mens-brooks-hyperion-2,medium,"Brooks/Fleet Feet: 6.8 oz / 193 g men, 8 mm drop, midsole height 26/18 mm, nitrogen-infused DNA FLASH v2 (Brooks claims ~10% more energy return than v1), RoadTack rubber, no plate. Lightweight tempo/workout shoe. MSRP $140.",
Topo Athletic,Cyclone,3,2025,tempo,m,196,28,23,5,False,none,Pebax Powered,,Normal,False,155,,,,,,,,,https://www.topoathletic.com/mens-cyclone-3,medium,"Topo official: 6.9 oz (M9) / 196 g, 28/23 mm stack, 5 mm drop, full-length Pebax Powered midsole, no plate, roomy anatomic toe box, rocker. Public copy: tempo/race speed trainer. US list $150–$155.",
Adidas,Adizero SL,2,2024,tempo,m,232,36,26,10,False,none,Lightstrike Pro / Lightstrike 2.0,,Normal;Wide,False,130,,,,,,,,,https://runningshoedb.com/en/shoes/adidas-adizero-sl2/,medium,"Adidas Japan PR / Running Shoe DB: 232 g, 10 mm drop, 36/26 mm stack, full-length Lightstrike Pro in a Lightstrike 2.0 carrier, Adiwear rubber, no plate. Light daily/tempo Adizero at $130. Wide listed on public pages.",
