brand,model,version,archetype,runhub_score,category_rank,score_ride,score_cushioning,score_weight,score_comfort_fit,score_durability,score_expert,value_rating,score_confidence,msrp_usd,image_url
Saucony,Endorphin Azura,,daily_trainer,77,1,8.9,10.0,8.2,4.3,5.0,8.8,Great value,high,150,https://cdn.runrepeat.com/storage/gallery/product_primary/41068/saucony-endorphin-azura-24569960-720.jpg
Adidas,Adizero EVO SL,,daily_trainer,76,2,10.0,5.0,10.0,5.0,5.0,10.0,Great value,high,150,https://cdn.runrepeat.com/storage/gallery/product_primary/40586/adidas-adizero-evo-sl-22256345-720.jpg
New Balance,1080,v15,daily_trainer,74,3,7.4,6.6,6.1,8.9,6.7,8.8,Great value,high,170,https://cdn.runrepeat.com/storage/gallery/product_primary/41066/new-balance-1080-v-15-24327575-720.jpg
Nike,Zoom Fly,6,daily_trainer,63,4,6.3,9.5,7.3,1.8,5.0,6.8,Great value,high,170,https://cdn.runrepeat.com/storage/gallery/product_primary/40613/nike-zoom-fly-6-22464236-720.jpg
Hoka,Mach,6,daily_trainer,61,5,6.8,4.3,8.6,6.1,5.0,5.8,Great value,high,140,https://cdn.runrepeat.com/storage/gallery/product_primary/40333/hoka-mach-6-21454844-720.jpg
New Balance,FuelCell SuperComp Trainer,v3,daily_trainer,58,6,7.9,5.9,3.9,3.2,5.0,7.5,Fair,high,180,https://cdn.runrepeat.com/storage/gallery/product_primary/40405/new-balance-fuel-cell-super-comp-trainer-v-3-21926162-720.jpg
PUMA,Velocity Nitro,4,daily_trainer,57,7,8.4,1.4,9.3,2.3,2.2,9.5,Great value,high,140,https://cdn.runrepeat.com/storage/gallery/product_primary/40911/puma-velocity-nitro-4-23536936-720.jpg
Hoka,Mach,7,daily_trainer,55,8,5.3,3.6,9.3,6.1,0.0,8.0,Great value,high,145,https://cdn.runrepeat.com/storage/gallery/product_primary/41083/hoka-mach-7-24969866-720.jpg
Brooks,Ghost,16,daily_trainer,50,9,4.2,3.0,5.0,10.0,5.0,3.8,Great value,high,140,https://cdn.runrepeat.com/storage/gallery/product_primary/40307/brooks-ghost-16-21769307-720.jpg
PUMA,Deviate Nitro 3,3,daily_trainer,48,10,5.8,8.2,4.5,0.9,5.0,3.8,Fair,high,160,https://cdn.runrepeat.com/storage/gallery/product_primary/40421/puma-deviate-nitro-3-21762222-720.jpg
New Balance,Fresh Foam X 1080,v14,daily_trainer,48,11,4.7,6.6,2.3,8.9,6.7,1.0,Premium,high,165,https://cdn.runrepeat.com/storage/gallery/product_primary/40532/new-balance-fresh-foam-x-1080-v-14-22470928-720.jpg
Adidas,Supernova Rise,,daily_trainer,47,12,9.5,0.0,3.9,6.1,5.0,3.8,Fair,high,140,https://cdn.runrepeat.com/storage/gallery/product_primary/40262/adidas-supernova-rise-21380535-720.jpg
Brooks,Ghost,18,daily_trainer,47,13,0.5,7.7,1.1,8.9,6.7,3.8,Fair,high,150,https://cdn.runrepeat.com/storage/gallery/product_primary/41345/brooks-ghost-18-25103441-720.jpg
Saucony,Ride,19,daily_trainer,45,14,5.0,4.3,6.1,0.9,5.0,5.0,Fair,medium,145,
Mizuno,Wave Rider,27,daily_trainer,44,15,0.0,8.6,3.2,6.1,10.0,0.0,Fair,high,140,https://cdn.runrepeat.com/storage/gallery/product_primary/39992/mizuno-wave-rider-27-21208144-720.jpg
Saucony,Ride,17,daily_trainer,42,16,5.0,3.0,1.8,0.9,6.7,6.8,Fair,high,140,https://cdn.runrepeat.com/storage/gallery/product_primary/40236/saucony-ride-17-21258652-720.jpg
Brooks,Glycerin,23,daily_trainer,41,17,2.1,7.3,0.0,4.3,6.7,3.8,Premium,high,175,https://cdn.runrepeat.com/storage/gallery/product_primary/41070/brooks-glycerin-23-24884506-720.jpg
Nike,Pegasus Plus,,daily_trainer,41,18,5.0,1.8,7.7,0.0,5.0,5.0,Premium,medium,190,
Brooks,Glycerin,22,daily_trainer,39,19,2.6,9.1,0.5,7.7,2.2,1.8,Premium,high,165,https://cdn.runrepeat.com/storage/gallery/product_primary/40658/brooks-glycerin-22-22723203-720.jpg
PUMA,Velocity Nitro,3,daily_trainer,38,20,3.7,2.3,5.5,2.7,5.0,3.8,Premium,high,135,https://cdn.runrepeat.com/storage/gallery/product_primary/40300/puma-velocity-nitro-3-21383733-720.jpg
Hoka,Clifton,9,daily_trainer,37,21,1.1,0.5,6.8,3.6,5.0,5.8,Premium,high,145,https://cdn.runrepeat.com/storage/gallery/product_primary/39553/hoka-clifton-9-21236508-720.jpg
Nike,Pegasus,41,daily_trainer,33,22,3.2,0.9,2.7,7.3,5.0,1.8,Premium,high,140,https://cdn.runrepeat.com/storage/gallery/product_primary/40390/nike-pegasus-41-21635997-720.jpg
Brooks,Ghost,17,daily_trainer,31,23,1.6,5.5,1.1,8.9,2.2,0.5,Premium,high,150,https://cdn.runrepeat.com/storage/gallery/product_primary/40767/brooks-ghost-17-23734399-720.jpg
ASICS,Superblast,3,max_cushion,79,1,9.6,9.6,9.6,2.3,5.0,10.0,Great value,high,200,https://cdn.runrepeat.com/storage/gallery/product_primary/41200/asics-superblast-3-24636359-720.jpg
ASICS,Superblast,2,max_cushion,79,2,8.3,8.1,8.8,8.3,5.0,8.7,Great value,high,200,https://cdn.runrepeat.com/storage/gallery/product_primary/40450/asics-superblast-2-21749161-720.jpg
Mizuno,Neo Zen,,max_cushion,68,3,10.0,4.2,10.0,1.2,10.0,9.3,Great value,high,150,https://cdn.runrepeat.com/storage/gallery/product_primary/40640/mizuno-neo-zen-22947041-720.jpg
